title,artist,winner,year
Ebony And Ivory (Single),Paul McCartney And Stevie Wonder,0,1982
Chariots Of Fire,Vangelis,0,1982
Always On My Mind (Single),Willie Nelson,0,1982
Beat It,Michael Jackson,1,1983
Maniac (Single),Michael Sembello,0,1983
Flashdance...What A Feeling (Single),Irene Cara,0,1983
Every Breath You Take (Single),The Police,0,1983
All Night Long (All Night) (Single),Lionel Richie,0,1983
What's Love Got To Do With It,Tina Turner,1,1984
The Heart Of Rock And Roll (Single),Huey Lewis And The News,0,1984
Hard Habit To Break (Single),Chicago,0,1984
Girls Just Want To Have Fun (Single),Cyndi Lauper,0,1984
Dancing In The Dark (Single),Bruce Springsteen,0,1984
We Are The World,USA For Africa (Various Artists),1,1985
The Boys Of Summer (Single),Don Henley,0,1985
Money For Nothing (Single),Dire Straits,0,1985
The Power Of Love (Single),Huey Lewis And The News,0,1985
Born In The U.S.A. (Single),Bruce Springsteen,0,1985
Higher Love,Steve Winwood,1,1986
That's What Friends Are For (Single),"Dionne Warwick, Elton John, Gladys Knight, Stevie Wonder",0,1986
Sledgehammer (Single),Peter Gabriel,0,1986
Greatest Love Of All (Single),Whitney Houston,0,1986
Addicted To Love,Robert Palmer,0,1986
Graceland,Paul Simon,1,1987
Luka (Single),Suzanne Vega,0,1987
La Bamba,Los Lobos,0,1987
I Still Haven't Found What I'm Looking For (Single),U2,0,1987
Back In The High Life Again (Single),Steve Winwood,0,1987
Don't Worry Be Happy,Bobby McFerrin,1,1988
Roll With It (Single),Steve Winwood,0,1988
Man In The Mirror (Single),Michael Jackson,0,1988
Giving You The Best That I Got (Single),Anita Baker,0,1988
Fast Car (Single),Tracy Chapman,0,1988
Wind Beneath My Wings,Bette Midler,1,1989
We Didn't Start The Fire (Single),Billy Joel,0,1989
The Living Years (Single),Mike And The Mechanics,0,1989
The End Of The Innocence (Single),Don Henley,0,1989
She Drives Me Crazy (Single),Fine Young Cannibals,0,1989
Another Day In Paradise,Phil Collins,1,1990
Vision Of Love (Single),Mariah Carey,0,1990
